reaction	g0
FRDPtm	1e-05
FRDPtm_reverse	-1e-05
FRDcm	-42.0
FRDm	-42.0
FRTT	-80.6
FRUK	-18.0
FRUt2	1e-05
FTHFCL	-74.0
FTHFCLm	-74.0
FTHFI	-79.0
FTHFLi	-5.6
FTHFLmi	-5.6
FUM	-3.43
FUMAC	-76.0
FUM_reverse	3.43
FUMm	-3.43
FUMm_reverse	3.43
FUMt2r	1e-05
FUMt2r_reverse	-1e-05
G12MT1g	-1e-05
G12MT2g	-1e-05
G13MTg	-1e-05
G16MTg	-1e-05
G3PCt	1e-05
G3PCt_reverse	-1e-05
G3PD1ir	-23.2
G3PD1irm	-23.2
G3PDm	6.6
G3PIt	1e-05
G3PIt_reverse	-1e-05
G3PT	-13.0
G5SADrm	-36.0
G5SADrm_reverse	36.0
G5SADs	-36.0
G5SADs_reverse	36.0
G5SD	-8.2
G5SD2	-8.3
G6PDA	1.1
G6PDH2er	-6.2
G6PDH2r	-6.2
G6PI	6.8
G6PI3	-4.2
G6PI3_reverse	4.2
G6PI_reverse	-6.8
G6Pter	1e-05
G6Pter_reverse	-1e-05
GALIGH	-3.0
GALIGH_reverse	3.0
GALKr	-15.8
GALS3	1.7
GALT	-3.8
GALT_reverse	3.8
GALUi	-1.3
GALUi_reverse	1.3
GALt2	1e-05
GAM6Pt	1e-05
GAM6Pt_reverse	-1e-05
GAPD	1.8
GAPD_reverse	-1.8
GARFT	2.0
GAT1_SC	-687.0
GAT2_SC	-645.0
GBEZ	1e-05
GCALDt	1e-05
GCALDt_reverse	-1e-05
GCALDtm	1e-05
GCALDtm_reverse	-1e-05
GCC2am	16.0
GCC2am_reverse	-16.0
GCC2bim	1.0
GCC2cm_copy1	2.2
GCC2cm_copy1_reverse	-2.2
GCC2cm_copy2	2.2
GCCam	-1e-05
GCCam_reverse	1e-05
GCCbim	1e-05
GCCcm	1e-05
GCCcm_reverse	-1e-05
GDPMANNtg	1e-05
GDPt3g	1e-05
